id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,io start 0,io end 0
999,1,1,4601,10,16,18,5,2,8,2,4605,4606,10,4618,4619,10,-1,-1,-1,-1,-1,-1,4606,4614
998,10,10,79,30,-38,-17,-36,21,1,4,41,43,10,43,51,20,51,61,20,61,62,30,51,51
997,1,1,1907,10,14,17,2,3,12,2,1908,1909,10,1922,1924,10,-1,-1,-1,-1,-1,-1,1909,1922
996,11,11,1723,30,9913,9935,7,22,1,4,1728,1730,10,1749,1758,20,2768,2778,20,11657,11658,30,1758,1760
995,1,1,6561,10,22,24,2,2,11,2,6562,6563,10,6584,6585,10,-1,-1,-1,-1,-1,-1,6563,6575
994,1,1,6947,20,2479,2483,6,4,8,3,6952,6953,10,6969,6971,10,9429,9430,20,-1,-1,-1,6953,6962
993,10,10,5475,20,1995,2014,8,19,2,3,5481,5483,10,5491,5499,20,7480,7489,20,-1,-1,-1,5499,5501
992,2,2,5764,20,2228,2233,11,5,9,3,5773,5775,10,5784,5786,10,7996,7997,20,-1,-1,-1,5775,5784
991,8,8,900,20,160,177,3,17,2,3,901,903,10,903,909,20,1068,1077,20,-1,-1,-1,909,911
990,3,3,2625,20,1123,1127,6,4,11,3,2629,2631,10,2631,2632,20,3751,3752,20,-1,-1,-1,2632,2643
989,1,1,6306,10,14,16,2,2,12,2,6307,6308,10,6321,6322,10,-1,-1,-1,-1,-1,-1,6308,6321
988,2,2,5276,10,23,26,7,3,11,2,5281,5283,10,5301,5302,10,-1,-1,-1,-1,-1,-1,5283,5294
987,11,11,467,30,11134,11156,2,22,1,4,467,469,10,482,491,20,725,735,20,11622,11623,30,491,492
986,2,2,5988,10,20,23,7,3,8,2,5993,5995,10,6010,6011,10,-1,-1,-1,-1,-1,-1,5995,6003
985,2,2,841,20,211,216,11,5,11,3,850,852,10,873,875,10,1056,1057,20,-1,-1,-1,852,864
984,12,12,2841,20,1425,1447,9,22,1,3,2848,2850,10,2852,2862,20,4278,4288,20,-1,-1,-1,2862,2863
983,12,12,2691,20,1128,1150,4,22,1,3,2693,2695,10,2695,2705,20,3831,3841,20,-1,-1,-1,2705,2706
982,1,1,1473,10,25,28,9,3,11,2,1481,1482,10,1499,1501,10,-1,-1,-1,-1,-1,-1,1482,1493
981,11,11,2165,20,1112,1133,6,21,2,3,2169,2171,10,2171,2180,20,3288,3298,20,-1,-1,-1,2180,2182
980,9,9,8099,30,3701,3721,2,20,1,4,8099,8101,10,8101,8108,20,10534,10544,20,11819,11820,30,8108,8109
979,1,1,4672,10,20,23,9,3,10,2,4680,4681,10,4693,4695,10,-1,-1,-1,-1,-1,-1,4681,4691
978,9,9,5813,30,5923,5943,6,20,2,4,5817,5819,10,5823,5830,20,8035,8045,20,11755,11756,30,5830,5832
977,2,2,6802,10,19,23,6,4,8,2,6806,6808,10,6823,6825,10,-1,-1,-1,-1,-1,-1,6808,6816
976,11,11,1711,20,918,939,4,21,3,3,1713,1715,10,1715,1724,20,2640,2650,20,-1,-1,-1,1724,1727
975,11,11,2384,20,1081,1101,3,20,2,3,2385,2387,10,2391,2400,20,3476,3485,20,-1,-1,-1,2400,2402
974,8,8,9799,20,1704,1721,3,17,2,3,9800,9802,10,9892,9898,20,11511,11520,20,-1,-1,-1,9898,9900
973,1,1,8871,10,18,21,6,3,11,2,8876,8877,10,8890,8892,10,-1,-1,-1,-1,-1,-1,8877,8889
972,8,8,5540,20,1978,1996,4,18,2,3,5542,5544,10,5551,5557,20,7526,7536,20,-1,-1,-1,5557,5559
971,2,2,8540,10,17,21,5,4,12,2,8543,8545,10,8559,8561,10,-1,-1,-1,-1,-1,-1,8545,8558
970,1,1,4364,20,1790,1794,3,4,12,3,4366,4367,10,4381,4383,10,6157,6158,20,-1,-1,-1,4367,4380
969,10,10,9205,30,2624,2646,2,22,3,4,9205,9207,10,9219,9227,20,11037,11047,20,11849,11851,30,9227,9230
968,3,3,9529,20,1757,1763,7,6,11,3,9534,9536,10,9571,9572,20,11289,11292,20,-1,-1,-1,9572,9584
967,10,10,5547,20,2002,2021,2,19,2,3,5547,5549,10,5563,5571,20,7559,7568,20,-1,-1,-1,5571,5573
966,11,11,9551,30,2297,2320,7,23,3,4,9556,9558,10,9596,9605,20,11311,11321,20,11869,11871,30,9605,9608
965,8,8,2,30,0,19,2,19,3,4,2,4,10,4,10,20,10,20,20,20,21,30,10,12
964,12,12,5251,20,1860,1882,2,22,1,3,5251,5253,10,5257,5267,20,7123,7133,20,-1,-1,-1,5267,5268
963,3,3,652,20,227,233,12,6,8,3,662,664,10,673,674,20,882,885,20,-1,-1,-1,674,682
962,2,2,1650,10,15,18,2,3,10,2,1650,1652,10,1667,1668,10,-1,-1,-1,-1,-1,-1,1652,1662
961,2,2,2966,10,10,13,2,3,8,2,2966,2968,10,2978,2979,10,-1,-1,-1,-1,-1,-1,2968,2976
960,3,3,620,20,197,203,6,6,12,3,624,626,10,629,630,20,820,823,20,-1,-1,-1,630,643
959,2,2,3465,20,1408,1413,11,5,9,3,3474,3476,10,3490,3492,10,4877,4878,20,-1,-1,-1,3476,3486
958,8,8,1154,20,519,535,4,16,3,3,1156,1158,10,1176,1182,20,1681,1689,20,-1,-1,-1,1182,1186
957,9,9,4433,20,1817,1836,3,19,3,3,4434,4436,10,4460,4467,20,6259,6269,20,-1,-1,-1,4467,4470
956,1,1,3898,20,1608,1612,4,4,12,3,3901,3902,10,3917,3919,10,5509,5510,20,-1,-1,-1,3902,3914
955,8,8,3888,30,7809,7828,13,19,2,4,3899,3901,10,3919,3925,20,5499,5509,20,11715,11716,30,3925,3927
954,9,9,4087,20,1651,1668,4,17,1,3,4089,4091,10,4105,4112,20,5747,5755,20,-1,-1,-1,4112,4113
953,12,12,1130,20,411,433,9,22,1,3,1137,1139,10,1140,1150,20,1553,1563,20,-1,-1,-1,1150,1151
952,12,12,9366,20,1797,1817,5,20,1,3,9369,9371,10,9383,9393,20,11175,11183,20,-1,-1,-1,9393,9394
951,3,3,3147,20,1581,1586,4,5,11,3,3149,3151,10,3162,3163,20,4731,4733,20,-1,-1,-1,3163,3175
950,12,12,9736,20,1675,1695,5,20,2,3,9739,9741,10,9745,9755,20,11423,11431,20,-1,-1,-1,9755,9757
949,11,11,2557,20,1126,1145,4,19,3,3,2559,2561,10,2563,2572,20,3694,3702,20,-1,-1,-1,2572,2575
948,11,11,8215,20,2391,2411,6,20,3,3,8219,8221,10,8234,8243,20,10617,10626,20,-1,-1,-1,8243,8246
947,12,12,9573,30,2276,2300,8,24,2,4,9579,9581,10,9619,9629,20,11333,11343,20,11871,11873,30,9629,9632
946,10,10,2273,20,1111,1131,8,20,3,3,2279,2281,10,2313,2321,20,3394,3404,20,-1,-1,-1,2321,2324
945,2,2,2115,10,18,22,7,4,12,2,2120,2122,10,2135,2137,10,-1,-1,-1,-1,-1,-1,2122,2134
944,9,9,122,30,-38,-17,-36,21,3,4,84,86,10,86,93,20,93,103,20,103,105,30,93,95
943,2,2,9901,10,15,18,7,3,9,2,9906,9908,10,9918,9919,10,-1,-1,-1,-1,-1,-1,9908,9917
942,12,12,9335,30,2502,2525,3,23,3,4,9336,9338,10,9359,9369,20,11156,11166,20,11859,11860,30,9369,9372
941,12,12,2881,20,1425,1447,2,22,3,3,2881,2883,10,2884,2894,20,4318,4328,20,-1,-1,-1,2894,2897
940,9,9,380,20,261,280,11,19,1,3,389,391,10,428,435,20,650,660,20,-1,-1,-1,435,436
939,2,2,9054,10,17,20,7,3,8,2,9059,9061,10,9073,9074,10,-1,-1,-1,-1,-1,-1,9061,9069
938,10,10,6422,20,2246,2266,7,20,1,3,6427,6429,10,6429,6437,20,8678,8688,20,-1,-1,-1,6437,6438
937,1,1,6171,10,19,21,8,2,12,2,6178,6179,10,6191,6192,10,-1,-1,-1,-1,-1,-1,6179,6191
