id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,io start 0,io end 0
999,1,1,18,9,10094,10098,9953,4,10,2,9970,9971,9,10113,10116,9,-1,-1,-1,9971,9981
998,8,8,27,50,114,133,42,19,3,2,61,69,50,149,160,50,-1,-1,-1,69,72
997,1,1,32,6,10948,10951,10808,3,11,2,10839,10840,6,10981,10983,6,-1,-1,-1,10840,10852
996,8,8,30,8,10351,10370,10259,19,1,2,10281,10289,8,10389,10400,8,-1,-1,-1,10289,10290
995,3,3,25,11,9624,9628,9514,4,11,2,9536,9539,11,9652,9653,11,-1,-1,-1,9539,9551
994,1,1,3,2,11655,11659,11527,4,10,2,11529,11530,2,11659,11662,2,-1,-1,-1,11530,11541
993,8,8,13,23,6751,6767,6665,16,2,2,6670,6678,23,6772,6780,23,-1,-1,-1,6678,6680
992,1,1,48,28,5746,5749,5704,3,9,2,5751,5752,28,5795,5797,28,-1,-1,-1,5752,5763
991,12,12,11,40,2764,2786,2621,22,2,2,2620,2632,40,2787,2797,40,-1,-1,-1,2632,2634
990,1,1,39,37,3680,3684,3547,4,12,2,3585,3586,37,3720,3723,37,-1,-1,-1,3586,3599
989,2,2,37,38,3399,3404,3271,5,9,2,3306,3308,38,3438,3441,38,-1,-1,-1,3308,3317
988,1,1,7,8,10356,10359,10242,3,11,2,10248,10249,8,10364,10366,8,-1,-1,-1,10249,10261
987,11,11,47,9,10121,10144,10012,23,2,2,10048,10059,9,10179,10191,9,-1,-1,-1,10059,10061
986,3,3,24,21,7321,7325,7170,4,11,2,7191,7194,21,7348,7349,21,-1,-1,-1,7194,7207
985,3,3,44,29,5651,5656,5543,5,9,2,5584,5587,29,5698,5700,29,-1,-1,-1,5587,5596
984,9,9,40,45,1501,1519,1421,18,2,2,1452,1461,45,1550,1559,45,-1,-1,-1,1461,1464
983,8,8,27,29,5604,5621,5515,17,1,2,5534,5542,29,5639,5648,29,-1,-1,-1,5542,5543
982,2,2,35,31,5171,5176,5038,5,11,2,5071,5073,31,5208,5211,31,-1,-1,-1,5073,5084
981,10,10,10,40,2732,2753,2586,21,3,2,2586,2596,40,2752,2763,40,-1,-1,-1,2596,2599
980,12,12,40,21,7344,7364,7217,20,3,2,7245,7257,21,7396,7404,21,-1,-1,-1,7257,7260
979,1,1,24,48,643,647,519,4,11,2,542,543,48,668,671,48,-1,-1,-1,543,554
978,11,11,15,12,9329,9350,9220,21,3,2,9224,9235,12,9355,9365,12,-1,-1,-1,9235,9238
977,3,3,44,2,11706,11712,11574,6,8,2,11615,11618,2,11753,11756,2,-1,-1,-1,11618,11627
976,12,12,50,43,2048,2070,1916,22,1,2,1954,1966,43,2110,2120,43,-1,-1,-1,1966,1967
975,9,9,50,34,4419,4436,4298,17,2,2,4339,4348,34,4478,4486,34,-1,-1,-1,4348,4351
974,10,10,45,40,2799,2819,2656,20,1,2,2691,2701,40,2854,2864,40,-1,-1,-1,2701,2702
973,1,1,39,15,8582,8584,8526,2,11,2,8564,8565,15,8622,8623,15,-1,-1,-1,8565,8577
972,11,11,43,5,11118,11140,11050,22,3,2,11082,11093,5,11172,11183,5,-1,-1,-1,11093,11097
971,2,2,1,12,9334,9337,9210,3,9,2,9209,9211,12,9337,9338,12,-1,-1,-1,9211,9220
970,1,1,43,38,3428,3432,3297,4,8,2,3339,3340,38,3472,3475,38,-1,-1,-1,3340,3349
969,8,8,3,2,11640,11656,11526,16,2,2,11521,11529,2,11651,11659,2,-1,-1,-1,11529,11531
968,2,2,37,22,7053,7056,6906,3,10,2,6941,6943,22,7092,7093,22,-1,-1,-1,6943,6954
967,12,12,43,23,6767,6791,6696,24,3,2,6727,6739,23,6822,6834,23,-1,-1,-1,6739,6742
966,12,12,16,46,1242,1266,1089,24,1,2,1093,1105,46,1270,1282,46,-1,-1,-1,1105,1106
965,9,9,4,8,10329,10347,10234,18,2,2,10229,10238,8,10342,10351,8,-1,-1,-1,10238,10241
964,12,12,48,47,966,988,815,22,3,2,851,863,47,1026,1036,47,-1,-1,-1,863,866
963,2,2,44,43,2063,2066,1906,3,10,2,1948,1950,43,2109,2110,43,-1,-1,-1,1950,1961
962,2,2,45,35,4140,4145,4012,5,10,2,4055,4057,35,4187,4190,35,-1,-1,-1,4057,4068
961,1,1,1,22,6984,6987,6834,3,11,2,6834,6835,22,6986,6988,22,-1,-1,-1,6835,6846
960,3,3,37,16,8425,8430,8365,5,8,2,8399,8402,16,8465,8467,16,-1,-1,-1,8402,8411
959,2,2,2,32,4832,4837,4701,5,11,2,4701,4703,32,4836,4839,32,-1,-1,-1,4703,4715
958,10,10,18,32,4820,4840,4707,20,3,2,4715,4725,32,4848,4858,32,-1,-1,-1,4725,4728
957,10,10,32,20,7544,7563,7456,19,3,2,7478,7488,20,7586,7595,20,-1,-1,-1,7488,7491
956,3,3,35,34,4394,4399,4258,5,10,2,4290,4293,34,4432,4434,34,-1,-1,-1,4293,4303
955,9,9,9,38,3353,3371,3241,18,1,2,3241,3250,38,3371,3380,38,-1,-1,-1,3250,3251
954,9,9,29,47,932,952,785,20,3,2,805,814,47,970,981,47,-1,-1,-1,814,817
953,11,11,20,18,7893,7913,7783,20,3,2,7792,7803,18,7924,7933,18,-1,-1,-1,7803,7806
952,11,11,32,49,341,364,228,23,2,2,249,260,49,384,396,49,-1,-1,-1,260,262
951,2,2,20,7,10623,10627,10481,4,10,2,10499,10501,7,10645,10647,7,-1,-1,-1,10501,10512
950,12,12,14,4,11241,11265,11201,24,2,2,11203,11215,4,11267,11279,4,-1,-1,-1,11215,11217
949,11,11,40,30,5410,5430,5317,20,1,2,5346,5357,30,5461,5470,30,-1,-1,-1,5357,5358
948,10,10,22,33,4595,4613,4509,18,2,2,4521,4531,33,4627,4635,33,-1,-1,-1,4531,4533
947,8,8,37,18,7918,7938,7808,20,2,2,7837,7845,18,7963,7975,18,-1,-1,-1,7845,7849
946,11,11,2,24,6500,6521,6396,21,2,2,6387,6398,24,6513,6523,24,-1,-1,-1,6398,6400
945,1,1,25,44,1730,1733,1621,3,8,2,1645,1646,44,1756,1758,44,-1,-1,-1,1646,1655
944,9,9,44,31,5174,5193,5051,19,1,2,5086,5095,31,5227,5237,31,-1,-1,-1,5095,5096
943,1,1,32,35,4119,4122,3985,3,11,2,4016,4017,35,4152,4154,35,-1,-1,-1,4017,4029
942,10,10,11,39,3051,3072,2893,21,1,2,2894,2904,39,3072,3083,39,-1,-1,-1,2904,2906
941,8,8,39,6,10948,10964,10822,16,1,2,10853,10861,6,10995,11003,6,-1,-1,-1,10861,10862
940,8,8,47,19,7686,7705,7646,19,1,2,7685,7693,19,7741,7752,19,-1,-1,-1,7693,7694
939,2,2,21,14,8825,8829,8666,4,9,2,8685,8687,14,8848,8850,14,-1,-1,-1,8687,8696
938,8,8,39,32,4874,4890,4755,16,1,2,4786,4794,32,4921,4929,32,-1,-1,-1,4794,4795
937,2,2,12,20,7556,7561,7453,5,10,2,7463,7465,20,7570,7573,20,-1,-1,-1,7465,7476
936,8,8,7,44,1681,1697,1591,16,1,2,1590,1598,44,1696,1704,44,-1,-1,-1,1598,1599
935,3,3,3,50,11,17,3,6,9,2,3,6,50,17,20,50,-1,-1,-1,6,16
934,3,3,34,33,4628,4632,4534,4,12,2,4565,4568,33,4665,4666,33,-1,-1,-1,4568,4580
933,11,11,28,22,7013,7032,6874,19,3,2,6891,6902,22,7052,7060,22,-1,-1,-1,6902,6905
932,8,8,20,44,1703,1720,1611,17,2,2,1623,1631,44,1731,1740,44,-1,-1,-1,1631,1633
931,11,11,40,7,10652,10672,10538,20,2,2,10567,10578,7,10703,10712,7,-1,-1,-1,10578,10580
930,10,10,14,17,8186,8205,8040,19,3,2,8044,8054,17,8210,8219,17,-1,-1,-1,8054,8057
929,10,10,41,1,11853,11873,11808,20,2,2,11839,11849,1,11904,11914,1,-1,-1,-1,11849,11851
928,8,8,4,9,10070,10086,9941,16,2,2,9937,9945,9,10082,10090,9,-1,-1,-1,9945,9947
927,1,1,14,20,7567,7569,7454,2,9,2,7467,7468,20,7582,7583,20,-1,-1,-1,7468,7479
926,3,3,45,26,6200,6204,6144,4,9,2,6186,6189,26,6248,6249,26,-1,-1,-1,6189,6199
925,9,9,17,14,8798,8819,8657,21,3,2,8665,8674,14,8824,8836,14,-1,-1,-1,8674,8678
924,12,12,27,1,11844,11865,11800,21,1,2,11815,11827,1,11883,11892,1,-1,-1,-1,11827,11828
923,2,2,20,17,8219,8223,8065,4,9,2,8083,8085,17,8241,8243,17,-1,-1,-1,8085,8094
