id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,start 7,finish 7,priority 7,start 8,finish 8,priority 8,start 9,finish 9,priority 9,start 10,finish 10,priority 10,start 11,finish 11,priority 11,start 12,finish 12,priority 12,start 13,finish 13,priority 13,start 14,finish 14,priority 14,start 15,finish 15,priority 15,start 16,finish 16,priority 16,start 17,finish 17,priority 17,io start 0,io end 0
999,3,3,7417,7604,127,131,2,4,11,4,7418,7419,7604,7420,7421,7604,7422,7423,7604,7547,7548,7604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7423,7434
998,9,9,3189,8382,82,99,1,17,1,6,3189,3190,8382,3192,3193,8382,3195,3202,8382,3203,3207,8382,3217,3218,8382,3285,3288,8382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3202,3203
997,3,3,9626,2397,15,20,1,5,12,4,9626,9627,2397,9627,9628,2397,9630,9631,2397,9644,9646,2397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9631,9644
996,12,12,9990,6820,44,64,1,20,3,4,9990,9991,6820,9991,9992,6820,10013,10023,6820,10046,10054,6820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10023,10026
995,1,1,3593,5970,15,19,1,4,12,2,3593,3594,5970,3609,3612,5970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3594,3606
994,1,1,2386,1735,11,13,1,2,10,2,2386,2387,1735,2398,2399,1735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2387,2398
993,10,10,8619,3233,46,66,1,20,2,5,8619,8620,3233,8620,8621,3233,8626,8630,3233,8658,8662,3233,8675,8685,3233,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8662,8664
992,1,1,3296,349,19,21,1,2,10,2,3296,3297,349,3316,3317,349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3297,3308
991,11,11,9590,125,564,585,1,21,1,6,9590,9591,125,9591,9592,125,9592,9593,125,9599,9606,125,9765,9766,125,10165,10175,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9766,9767
990,2,2,5982,1263,25,30,2,5,9,3,5983,5984,1263,5985,5986,1263,6009,6012,1263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5986,5995
989,3,3,8186,7507,12,16,1,4,11,4,8186,8187,7507,8187,8188,7507,8188,8189,7507,8201,8202,7507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8189,8200
