id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,start 7,finish 7,priority 7,start 8,finish 8,priority 8,start 9,finish 9,priority 9,start 10,finish 10,priority 10,start 11,finish 11,priority 11,start 12,finish 12,priority 12,start 13,finish 13,priority 13,start 14,finish 14,priority 14,start 15,finish 15,priority 15,start 16,finish 16,priority 16,io start 0,io end 0
999,3,3,2406,5990,38,42,1,4,10,4,2406,2407,5990,2407,2408,5990,2423,2424,5990,2447,2448,5990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2424,2434
998,8,8,986,3031,523,542,3,19,3,6,988,989,3031,990,991,3031,992,993,3031,994,995,3031,1094,1098,3031,1517,1528,3031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1098,1101
997,2,2,6304,582,15,20,2,5,11,3,6305,6306,582,6309,6310,582,6321,6324,582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6310,6321
996,11,11,5181,8590,4969,4991,2,22,1,7,5182,5183,8590,5184,5185,8590,5241,5250,8590,5370,5371,8590,5523,5527,8590,5728,5732,8590,10170,10172,8590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5250,5251
995,3,3,8496,1287,66,71,1,5,11,4,8496,8497,1287,8504,8505,1287,8539,8540,1287,8565,8567,1287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8540,8551
994,3,3,2970,422,79,85,1,6,9,5,2970,2971,422,2971,2972,422,2972,2973,422,2991,2992,422,3053,3055,422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2973,2982
993,12,12,5144,4872,5001,5025,1,24,1,7,5144,5145,4872,5157,5161,4872,5176,5177,4872,5333,5338,4872,5493,5494,4872,5637,5642,4872,10162,10169,4872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5494,5495
992,3,3,3127,1815,16,21,1,5,8,4,3127,3128,1815,3128,3129,1815,3129,3130,1815,3146,3148,1815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3130,3139
991,11,11,1751,959,9390,9410,1,20,2,8,1751,1752,959,1752,1753,959,1753,1754,959,1754,1755,959,1755,1756,959,1859,1864,959,5052,5053,959,11152,11161,959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5053,5056
990,3,3,7237,3456,39,43,1,4,9,4,7237,7238,3456,7238,7239,3456,7239,7240,3456,7279,7280,3456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7240,7249
989,1,1,7641,9367,14,16,1,2,11,2,7641,7642,9367,7656,7657,9367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7642,7653
988,2,2,4581,2871,15,19,1,4,12,4,4581,4582,2871,4582,4583,2871,4598,4599,2871,4599,4600,2871,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4583,4596
