id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,io start 0,io end 0
999,1,1,4601,7927,1381,1383,497,2,8,2,5097,5098,7927,5983,5984,7927,-1,-1,-1,-1,-1,-1,5098,5106
998,10,10,79,9081,-38,-17,-28,21,1,3,41,51,9081,51,61,9081,61,62,9081,-1,-1,-1,51,51
997,1,1,1907,7262,828,831,272,3,12,2,2178,2179,7262,2736,2738,7262,-1,-1,-1,-1,-1,-1,2179,2192
996,11,11,1723,8290,1657,1679,47,22,1,4,1760,1770,8290,2117,2118,8290,2679,2689,8290,3401,3402,8290,2118,2119
995,1,1,6561,8891,1102,1104,246,2,11,2,6806,6807,8891,7664,7665,8891,-1,-1,-1,-1,-1,-1,6807,6819
994,1,1,6947,760,873,877,63,4,8,2,7009,7010,760,7821,7824,760,-1,-1,-1,-1,-1,-1,7010,7019
993,10,10,5475,8674,859,878,128,19,2,2,5593,5603,8674,6344,6353,8674,-1,-1,-1,-1,-1,-1,5603,5605
992,2,2,5764,9013,1585,1590,660,5,9,2,6422,6424,9013,7351,7354,9013,-1,-1,-1,-1,-1,-1,6424,6434
991,8,8,900,1048,144,161,66,17,2,2,958,966,1048,1052,1061,1048,-1,-1,-1,-1,-1,-1,966,968
990,3,3,2625,8700,964,968,430,4,11,2,3052,3055,8700,3592,3593,8700,-1,-1,-1,-1,-1,-1,3055,3067
989,1,1,6306,7610,1269,1271,395,2,12,2,6700,6701,7610,7576,7577,7610,-1,-1,-1,-1,-1,-1,6701,6714
988,2,2,5276,4832,958,961,184,3,11,2,5458,5460,4832,6236,6237,4832,-1,-1,-1,-1,-1,-1,5460,5472
987,11,11,467,1608,401,423,101,22,1,4,558,568,1608,671,672,1608,744,754,1608,889,890,1608,672,673
986,2,2,5988,3234,1476,1479,565,3,8,2,6551,6553,3234,7466,7467,3234,-1,-1,-1,-1,-1,-1,6553,6561
985,2,2,841,9938,203,208,46,5,11,2,885,887,9938,1046,1049,9938,-1,-1,-1,-1,-1,-1,887,899
984,12,12,2841,6168,1576,1598,351,22,1,3,3182,3192,6168,3676,3678,6168,4429,4439,6168,-1,-1,-1,3678,3679
983,12,12,2691,7701,1679,1701,399,22,1,3,3080,3090,7701,3616,3618,7701,4382,4392,7701,-1,-1,-1,3618,3619
982,1,1,1473,9610,512,515,109,3,11,2,1581,1582,9610,1986,1988,9610,-1,-1,-1,-1,-1,-1,1582,1594
981,11,11,2165,9614,1292,1313,170,21,2,3,2325,2335,9614,2849,2850,9614,3468,3478,9614,-1,-1,-1,2850,2852
