id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,start 7,finish 7,priority 7,start 8,finish 8,priority 8,io start 0,io end 0
999,2,2,6511,2619,12,15,3,3,11,2,6512,6514,2619,6525,6526,2619,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6514,6525
998,12,12,1080,8270,464,484,449,20,3,3,1527,1529,8270,1538,1548,8270,1556,1564,8270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1548,1551
997,2,2,4277,9676,12,17,2,5,11,2,4277,4279,9676,4291,4294,9676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4279,4291
996,11,11,3044,3311,157,178,166,21,2,2,3199,3210,3311,3212,3222,3311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3210,3212
995,2,2,7429,5962,11,14,2,3,11,2,7429,7431,5962,7442,7443,5962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7431,7442
994,2,2,346,4703,11,16,3,5,10,2,347,349,4703,359,362,4703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,349,359
993,11,11,9724,1626,231,250,231,19,3,2,9944,9955,1626,9966,9974,1626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9955,9958
992,1,1,7439,6046,13,17,1,4,11,2,7439,7440,6046,7453,7456,6046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7440,7453
991,11,11,7292,9911,23,45,21,22,2,2,7302,7313,9911,7326,7337,9911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7313,7315
990,3,3,8693,9999,11,15,3,4,11,2,8693,8696,9999,8707,8708,9999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8696,8707
989,1,1,3143,6333,12,16,2,4,10,2,3144,3145,6333,3156,3159,6333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3145,3156
988,1,1,8379,4545,9,11,1,2,9,2,8379,8380,4545,8389,8390,4545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8380,8389
987,9,9,8948,776,88,108,9,20,2,3,8948,8957,776,9043,9051,776,9053,9056,776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8957,8959
