id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,type,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,io start 0,io end 0
999,10,10,2562,0,32,53,2,21,1,3,CPU,2563,2573,55,2604,2614,5,2614,2615,0,-1,-1,-1,-1,-1,-1,2573,2574
998,3,3,9831,0,25,31,6,6,11,2,I/O,9836,9839,15,9859,9862,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9839,9852
997,11,11,7892,0,132,151,122,19,2,3,CPU,8013,8023,5,8023,8024,40,8035,8043,0,-1,-1,-1,-1,-1,-1,8024,8026
996,9,9,2113,0,19,39,10,20,1,3,CPU,2122,2131,55,2141,2151,5,2151,2152,0,-1,-1,-1,-1,-1,-1,2131,2132
995,1,1,5287,0,17,21,2,4,9,2,I/O,5288,5289,15,5305,5308,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5289,5298
994,10,10,9829,0,54,74,17,20,3,2,CPU,9845,9855,50,9893,9903,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9855,9859
993,9,9,5938,0,14,32,3,18,1,2,CPU,5940,5949,45,5961,5970,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5949,5950
992,10,10,3450,0,73,91,72,18,1,2,CPU,3521,3531,40,3533,3541,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3531,3532
991,9,9,5973,0,21,41,10,20,2,3,CPU,5982,5991,55,6003,6013,5,6013,6014,0,-1,-1,-1,-1,-1,-1,5991,5993
990,11,11,7951,0,81,101,74,20,2,3,CPU,8024,8034,5,8034,8035,45,8043,8052,0,-1,-1,-1,-1,-1,-1,8035,8037
989,10,10,517,0,89,110,8,21,1,3,CPU,524,534,55,616,626,5,626,627,0,-1,-1,-1,-1,-1,-1,534,535
988,8,8,969,0,15,32,6,17,3,2,CPU,974,982,45,992,1001,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,982,985
987,3,3,626,0,18,22,5,4,11,2,I/O,630,633,5,647,648,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,633,645
986,2,2,562,0,15,19,3,4,8,2,I/O,564,566,10,579,581,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,566,575
985,2,2,8663,0,13,16,4,3,8,2,I/O,8666,8668,5,8678,8679,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,8668,8677
984,3,3,4305,0,18,23,5,5,12,2,I/O,4309,4312,10,4326,4328,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4312,4325
983,9,9,3485,0,155,174,15,19,1,2,CPU,3499,3508,50,3649,3659,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3508,3509
982,12,12,9351,0,2671,2693,2660,22,1,3,CPU,12010,12015,35,12015,12022,50,12034,12044,0,-1,-1,-1,-1,-1,-1,12022,12023
981,10,10,5330,0,5130,5152,3,22,2,3,CPU,5332,5342,60,10470,10475,35,10475,10482,0,-1,-1,-1,-1,-1,-1,5342,5344
980,10,10,2690,0,14,32,10,18,1,2,CPU,2699,2709,40,2714,2722,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2709,2710
979,3,3,2657,0,15,20,2,5,11,2,I/O,2658,2661,10,2675,2677,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2661,2673
978,10,10,4044,0,554,575,25,21,3,3,CPU,4068,4078,55,4608,4618,5,4618,4619,0,-1,-1,-1,-1,-1,-1,4078,4081
977,11,11,4866,0,214,233,212,19,1,3,CPU,5077,5087,5,5087,5088,40,5091,5099,0,-1,-1,-1,-1,-1,-1,5088,5089
976,9,9,9927,0,26,43,14,17,2,2,CPU,9940,9949,40,9962,9970,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9949,9951
975,9,9,2271,0,30,47,29,17,1,2,CPU,2299,2308,40,2310,2318,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2308,2309
974,10,10,7857,0,77,96,68,19,3,2,CPU,7924,7934,45,7944,7953,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7934,7937
973,9,9,3720,0,40,58,37,18,1,2,CPU,3756,3765,45,3769,3778,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3765,3766
972,1,1,8174,0,26,29,7,3,10,2,I/O,8180,8181,10,8201,8203,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,8181,8192
971,11,11,8214,0,17,36,13,19,1,3,CPU,8226,8236,5,8236,8237,40,8242,8250,0,-1,-1,-1,-1,-1,-1,8237,8238
970,3,3,2850,0,21,27,6,6,12,2,I/O,2855,2858,15,2874,2877,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2858,2871
969,12,12,9922,0,2328,2352,2321,24,2,4,CPU,12242,12247,35,12247,12254,60,12262,12267,35,12267,12274,0,-1,-1,-1,12254,12256
968,1,1,5566,0,23,27,6,4,12,2,I/O,5571,5572,15,5590,5593,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5572,5584
967,9,9,8098,0,18,35,7,17,2,2,CPU,8104,8113,40,8125,8133,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,8113,8115
966,11,11,5685,0,219,241,216,22,2,4,CPU,5900,5910,5,5910,5911,55,5915,5925,5,5925,5926,0,-1,-1,-1,5911,5913
965,12,12,5248,0,5191,5214,5180,23,3,4,CPU,10427,10432,35,10432,10439,55,10451,10461,5,10461,10462,0,-1,-1,-1,10439,10442
964,3,3,7608,0,15,21,6,6,8,2,I/O,7613,7616,15,7626,7629,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7616,7624
963,9,9,6400,0,18,37,4,19,2,2,CPU,6403,6412,50,6427,6437,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6412,6414
962,2,2,3729,0,19,24,3,5,12,2,I/O,3731,3733,15,3750,3753,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3733,3745
961,10,10,2499,0,9,27,7,18,1,2,CPU,2505,2515,40,2518,2526,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2515,2516
960,11,11,1506,0,158,177,149,19,3,3,CPU,1654,1664,5,1664,1665,40,1675,1683,0,-1,-1,-1,-1,-1,-1,1665,1668
959,9,9,3053,0,43,60,42,17,2,2,CPU,3094,3103,40,3105,3113,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3103,3105
958,10,10,97,0,3,23,1,20,1,4,CPU,97,102,25,104,109,50,110,115,25,115,120,0,-1,-1,-1,109,109
957,1,1,4489,0,18,20,4,2,10,2,I/O,4492,4493,5,4508,4509,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4493,4503
956,12,12,6555,0,4448,4472,4441,24,3,4,CPU,10995,11000,35,11000,11007,60,11015,11020,35,11020,11027,0,-1,-1,-1,11007,11010
955,9,9,3810,0,12,30,11,18,1,2,CPU,3820,3829,45,3831,3840,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3829,3830
954,12,12,1850,0,4087,4109,4077,22,1,3,CPU,5926,5931,35,5933,5940,50,5949,5959,0,-1,-1,-1,-1,-1,-1,5940,5941
953,12,12,5987,0,4823,4845,4812,22,1,3,CPU,10798,10803,35,10803,10810,50,10822,10832,0,-1,-1,-1,-1,-1,-1,10810,10811
952,1,1,4085,0,19,23,5,4,8,2,I/O,4089,4090,15,4105,4108,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4090,4098
951,8,8,141,0,12,29,8,17,3,2,CPU,148,156,45,161,170,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,156,159
950,11,11,328,0,61,80,48,19,3,3,CPU,375,385,5,385,386,40,400,408,0,-1,-1,-1,-1,-1,-1,386,389
949,3,3,1179,0,14,18,4,4,11,2,I/O,1182,1185,5,1196,1197,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1185,1196
948,8,8,6594,0,127,145,9,18,3,2,CPU,6602,6610,50,6729,6739,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6610,6613
947,3,3,6268,0,19,25,4,6,8,2,I/O,6271,6274,15,6290,6293,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6274,6282
946,11,11,4330,0,461,481,456,20,3,3,CPU,4785,4795,5,4795,4796,45,4802,4811,0,-1,-1,-1,-1,-1,-1,4796,4799
945,2,2,6996,0,18,23,9,5,9,2,I/O,7004,7006,15,7016,7019,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7006,7015
944,1,1,1502,0,15,19,6,4,10,2,I/O,1507,1508,15,1518,1521,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1508,1518
943,1,1,4661,0,16,19,2,3,9,2,I/O,4662,4663,10,4678,4680,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4663,4672
942,12,12,2513,0,3857,3878,3855,21,3,3,CPU,6367,6372,35,6372,6379,45,6382,6391,0,-1,-1,-1,-1,-1,-1,6379,6382
941,10,10,2525,0,38,59,16,21,3,3,CPU,2540,2550,55,2573,2583,5,2583,2584,0,-1,-1,-1,-1,-1,-1,2550,2554
940,3,3,6703,0,34,40,14,6,11,2,I/O,6716,6719,15,6740,6743,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6719,6730
939,3,3,9724,0,11,16,2,5,8,2,I/O,9725,9728,10,9738,9740,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9728,9736
938,10,10,6976,0,33,53,31,20,1,2,CPU,7006,7016,50,7019,7029,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7016,7017
