id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,type,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,io start 0,io end 0
999,3,3,1027,0,21,27,7,6,8,2,I/O,1033,1036,15,1051,1054,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1036,1045
998,10,10,6672,0,77,97,64,20,3,2,CPU,6735,6745,50,6759,6769,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6745,6748
997,3,3,4988,0,23,27,5,4,12,2,I/O,4992,4995,5,5014,5015,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4995,5007
996,9,9,2732,0,109,128,69,19,1,2,CPU,2800,2809,50,2850,2860,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2809,2810
995,1,1,3229,0,15,17,8,2,8,2,I/O,3236,3237,5,3245,3246,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3237,3245
994,3,3,384,0,16,20,5,4,11,2,I/O,388,391,5,403,404,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,391,403
993,10,10,9193,0,2393,2415,47,22,3,3,CPU,9239,9249,60,11596,11601,35,11601,11608,0,-1,-1,-1,-1,-1,-1,9249,9252
992,2,2,3334,0,25,29,10,4,9,2,I/O,3343,3345,10,3361,3363,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3345,3354
991,11,11,7028,0,383,405,359,22,3,4,CPU,7386,7396,5,7396,7397,55,7422,7432,5,7432,7433,0,-1,-1,-1,7397,7400
990,2,2,5817,0,11,15,1,4,9,2,I/O,5817,5819,10,5830,5832,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5819,5829
989,3,3,8294,0,13,19,3,6,11,2,I/O,8296,8299,15,8310,8313,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,8299,8310
988,2,2,9490,0,23,27,2,4,11,2,I/O,9491,9493,10,9515,9517,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9493,9505
987,9,9,627,0,20,39,19,19,2,2,CPU,645,654,50,656,666,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,654,656
986,2,2,4891,0,25,30,6,5,11,2,I/O,4896,4898,15,4918,4921,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4898,4909
985,2,2,6501,0,20,25,9,5,10,2,I/O,6509,6511,15,6523,6526,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6511,6522
984,12,12,5334,0,4903,4927,4892,24,2,4,CPU,10225,10230,35,10230,10237,60,10249,10254,35,10254,10261,0,-1,-1,-1,10237,10239
983,12,12,1750,0,824,846,802,22,3,3,CPU,2551,2556,35,2556,2563,50,2586,2596,0,-1,-1,-1,-1,-1,-1,2563,2566
982,1,1,6501,0,19,22,4,3,11,2,I/O,6504,6505,10,6521,6523,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6505,6516
981,10,10,1444,0,817,839,5,22,1,3,CPU,1448,1458,60,2271,2276,35,2276,2283,0,-1,-1,-1,-1,-1,-1,1458,1459
980,12,12,6158,0,4367,4387,4356,20,3,3,CPU,10513,10518,35,10518,10525,40,10537,10545,0,-1,-1,-1,-1,-1,-1,10525,10528
979,1,1,9047,0,16,20,6,4,10,2,I/O,9052,9053,15,9064,9067,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9053,9063
