id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,type,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,io start 0,io end 0
999,2,2,1721,20,757,762,6,5,10,3,I/O,1726,1728,10,1743,1745,10,2482,2483,20,-1,-1,-1,1728,1738
998,10,10,9992,20,1609,1628,2,19,1,3,CPU,9993,9995,10,10033,10041,20,11611,11620,20,-1,-1,-1,10041,10042
997,2,2,3278,10,18,21,5,3,8,2,I/O,3282,3284,10,3298,3299,10,-1,-1,-1,-1,-1,-1,3284,3292
996,8,8,799,30,10842,10861,8,19,3,4,CPU,806,808,10,825,831,20,1256,1266,20,11659,11660,30,831,835
995,2,2,2191,10,14,17,1,3,11,2,I/O,2191,2193,10,2207,2208,10,-1,-1,-1,-1,-1,-1,2193,2204
994,3,3,9910,20,1610,1616,6,6,12,3,I/O,9915,9917,10,9929,9930,20,11523,11526,20,-1,-1,-1,9930,9942
993,10,10,9250,20,1954,1974,9,20,1,3,CPU,9258,9260,10,9262,9270,20,11214,11224,20,-1,-1,-1,9270,9271
992,2,2,1534,10,21,25,7,4,9,2,I/O,1540,1542,10,1557,1559,10,-1,-1,-1,-1,-1,-1,1542,1551
991,8,8,7949,20,2538,2555,7,17,1,3,CPU,7955,7957,10,7957,7963,20,10495,10504,20,-1,-1,-1,7963,7964
990,1,1,5352,10,30,32,8,2,12,2,I/O,5359,5360,10,5383,5384,10,-1,-1,-1,-1,-1,-1,5360,5372
989,1,1,8639,20,2224,2228,9,4,10,3,I/O,8647,8648,10,8665,8667,10,10866,10867,20,-1,-1,-1,8648,8658
988,3,3,7587,20,2724,2728,4,4,8,3,I/O,7590,7592,10,7633,7634,20,10314,10315,20,-1,-1,-1,7634,7643
987,9,9,5164,20,1660,1678,5,18,1,3,CPU,5168,5170,10,5172,5179,20,6833,6842,20,-1,-1,-1,5179,5180
986,1,1,2673,10,19,22,4,3,8,2,I/O,2676,2677,10,2693,2695,10,-1,-1,-1,-1,-1,-1,2677,2686
985,3,3,7499,20,2741,2745,3,4,11,3,I/O,7501,7503,10,7523,7524,20,10243,10244,20,-1,-1,-1,7524,7536
984,10,10,9773,20,1645,1665,1,20,3,3,CPU,9773,9775,10,9792,9800,20,11428,11438,20,-1,-1,-1,9800,9804
983,11,11,1502,20,787,807,3,20,3,3,CPU,1504,1506,10,1520,1529,20,2300,2309,20,-1,-1,-1,1529,1533
982,1,1,6416,10,17,20,7,3,9,2,I/O,6422,6423,10,6434,6436,10,-1,-1,-1,-1,-1,-1,6423,6432
981,12,12,4525,20,1384,1405,7,21,3,3,CPU,4531,4533,10,4533,4543,20,5921,5930,20,-1,-1,-1,4543,4546
980,8,8,6970,20,2719,2736,7,17,3,3,CPU,6976,6978,10,6990,6996,20,9697,9706,20,-1,-1,-1,6996,6999
979,3,3,7900,20,2570,2575,1,5,9,3,I/O,7900,7902,10,7919,7920,20,10473,10475,20,-1,-1,-1,7920,7929
978,9,9,7625,30,4233,4254,1,21,2,4,CPU,7625,7627,10,7634,7641,20,10315,10325,20,11877,11879,30,7641,7644
977,2,2,4550,10,32,35,8,3,11,2,I/O,4557,4559,10,4584,4585,10,-1,-1,-1,-1,-1,-1,4559,4571
976,12,12,7804,30,4055,4079,4,24,1,4,CPU,7807,7809,10,7827,7837,20,10391,10401,20,11881,11883,30,7837,7838
975,12,12,3411,20,1019,1039,7,20,3,3,CPU,3417,3419,10,3421,3431,20,4442,4450,20,-1,-1,-1,3431,3435
974,9,9,1805,30,9877,9898,7,21,3,4,CPU,1811,1813,10,1830,1837,20,2576,2586,20,11701,11703,30,1837,1840
973,2,2,8387,10,26,29,3,3,12,2,I/O,8389,8391,10,8415,8416,10,-1,-1,-1,-1,-1,-1,8391,8404
972,8,8,2926,20,1151,1167,7,16,3,3,CPU,2932,2934,10,2946,2952,20,4085,4093,20,-1,-1,-1,2952,2955
971,3,3,7481,20,2746,2752,1,6,12,3,I/O,7481,7483,10,7513,7514,20,10230,10233,20,-1,-1,-1,7514,7526
970,3,3,950,20,576,580,7,4,11,3,I/O,956,958,10,961,962,20,1529,1530,20,-1,-1,-1,962,974
969,8,8,8783,20,2145,2161,1,16,1,3,CPU,8783,8785,10,8807,8813,20,10936,10944,20,-1,-1,-1,8813,8814
968,3,3,8314,20,2365,2371,10,6,11,3,I/O,8323,8325,10,8344,8345,20,10682,10685,20,-1,-1,-1,8345,8357
967,10,10,5717,30,6084,6106,2,22,1,4,CPU,5718,5720,10,5723,5731,20,7649,7659,20,11821,11823,30,5731,5732
966,11,11,9766,20,1640,1660,2,20,3,3,CPU,9767,9769,10,9778,9787,20,11417,11426,20,-1,-1,-1,9787,9790
965,10,10,1133,30,10517,10539,5,22,3,4,CPU,1137,1139,10,1156,1164,20,1888,1898,20,11670,11672,30,1164,1167
964,12,12,4620,20,1499,1520,5,21,3,3,CPU,4624,4626,10,4639,4649,20,6131,6140,20,-1,-1,-1,4649,4652
963,3,3,323,20,251,257,1,6,9,3,I/O,323,325,10,327,328,20,577,580,20,-1,-1,-1,328,337
962,1,1,9506,10,16,19,4,3,11,2,I/O,9509,9510,10,9523,9525,10,-1,-1,-1,-1,-1,-1,9510,9521
961,3,3,4882,20,1663,1669,8,6,11,3,I/O,4889,4891,10,4891,4892,20,6548,6551,20,-1,-1,-1,4892,4903
960,1,1,6035,10,19,22,1,3,12,2,I/O,6035,6036,10,6055,6057,10,-1,-1,-1,-1,-1,-1,6036,6049
959,3,3,6653,20,2628,2634,8,6,9,3,I/O,6660,6662,10,6664,6665,20,9284,9287,20,-1,-1,-1,6665,6675
958,8,8,2232,20,840,858,7,18,3,3,CPU,2238,2240,10,2244,2250,20,3080,3090,20,-1,-1,-1,2250,2253
957,10,10,8081,20,2472,2492,7,20,1,3,CPU,8087,8089,10,8092,8100,20,10563,10573,20,-1,-1,-1,8100,8101
956,3,3,2799,20,1168,1172,6,4,10,3,I/O,2804,2806,10,2846,2847,20,3970,3971,20,-1,-1,-1,2847,2857
955,9,9,6729,20,2610,2627,2,17,3,3,CPU,6730,6732,10,6741,6748,20,9348,9356,20,-1,-1,-1,6748,6751
954,12,12,9899,20,1603,1624,6,21,1,3,CPU,9904,9906,10,9917,9927,20,11514,11523,20,-1,-1,-1,9927,9928
953,12,12,8790,30,3103,3126,2,23,3,4,CPU,8791,8793,10,8814,8824,20,10947,10957,20,11915,11916,30,8824,8828
952,9,9,1014,20,587,604,1,17,2,3,CPU,1014,1016,10,1016,1023,20,1610,1618,20,-1,-1,-1,1023,1025
