id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,start 7,finish 7,priority 7,start 8,finish 8,priority 8,start 9,finish 9,priority 9,start 10,finish 10,priority 10,start 11,finish 11,priority 11,start 12,finish 12,priority 12,io start 0,io end 0
999,2,2,7931,1730,29,33,2,4,12,3,7932,7933,1730,7935,7936,1730,7962,7964,1730,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7936,7948
998,11,11,1291,8737,2351,2372,1,21,3,8,1291,1292,8737,1294,1295,8737,1295,1296,8737,1296,1297,8737,1361,1366,8737,1571,1573,8737,1992,1998,8737,3659,3663,8737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1573,1576
997,2,2,7097,7176,12,15,1,3,9,3,7097,7098,7176,7098,7099,7176,7111,7112,7176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7099,7108
996,8,8,4513,4521,6700,6718,1,18,2,8,4513,4514,4521,4516,4517,4521,4517,4518,4521,4518,4519,4521,4579,4583,4521,4654,4655,4521,9872,9876,4521,11226,11231,4521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4583,4585
995,1,1,3221,2138,21,24,1,3,10,3,3221,3222,2138,3235,3236,2138,3244,3245,2138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3232
994,3,3,3895,2187,83,88,1,5,11,5,3895,3896,2187,3896,3897,2187,3899,3900,2187,3915,3916,2187,3982,3983,2187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3900,3912
993,9,9,162,1347,20,39,1,19,2,10,162,163,1347,163,164,1347,164,165,1347,165,166,1347,166,167,1347,167,168,1347,168,169,1347,180,181,1347,190,191,1347,191,201,1347,-1,-1,-1,-1,-1,-1,191,192
992,3,3,1618,4695,11,16,1,5,10,4,1618,1619,4695,1619,1620,4695,1620,1621,4695,1632,1634,4695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1621,1631
991,8,8,4082,511,7743,7761,1,18,1,9,4082,4083,511,4083,4084,511,4084,4085,511,4085,4086,511,4086,4087,511,4105,4106,511,4145,4146,511,11176,11177,511,11833,11843,511,-1,-1,-1,-1,-1,-1,-1,-1,-1,11177,11178
990,2,2,8656,1576,12,15,1,3,10,3,8656,8657,1576,8657,8658,1576,8670,8671,1576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8658,8669
989,1,1,5842,5151,12,16,1,4,8,4,5842,5843,5151,5853,5854,5151,5854,5855,5151,5857,5858,5151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5843,5852
988,1,1,7787,40,13,16,1,3,8,2,7787,7788,40,7801,7803,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7788,7796
987,9,9,8675,2754,2011,2030,1,19,3,7,8675,8676,2754,8676,8677,2754,8677,8678,2754,8689,8690,2754,8734,8736,2754,9195,9198,2754,10695,10705,2754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9198,9201
986,3,3,228,3774,38,42,1,4,8,4,228,229,3774,229,230,3774,258,259,3774,269,270,3774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,259,267
985,2,2,378,606,49,54,1,5,11,3,378,379,606,401,402,606,429,432,606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,402,414
984,8,8,7148,8874,1367,1383,1,16,2,6,7148,7149,8874,7149,7150,8874,7158,7159,8874,7174,7177,8874,7485,7487,8874,8523,8531,8874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7487,7489
983,10,10,6710,1974,131,151,1,20,2,4,6710,6711,1974,6720,6721,1974,6731,6739,1974,6851,6861,1974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6739,6741
982,2,2,6845,9316,17,20,1,3,10,3,6845,6846,9316,6846,6847,9316,6864,6865,9316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6847,6858
981,9,9,5761,6660,4401,4420,2,19,1,7,5762,5763,6660,5765,5766,6660,5769,5770,6660,5770,5771,6660,5786,5787,6660,7908,7912,6660,10171,10181,6660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7912,7913
980,10,10,3787,799,7313,7333,1,20,1,8,3787,3788,799,3788,3789,799,3789,3790,799,3790,3791,799,3795,3801,799,3802,3803,799,3805,3808,799,11114,11120,799,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3801,3802
