id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,type,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,io start 0,io end 0
999,1,1,8927,1340,2307,2309,864,2,11,2,I/O,9790,9791,1340,11235,11236,1340,-1,-1,-1,-1,-1,-1,9791,9803
998,9,9,4949,7589,2862,2883,171,21,1,3,CPU,5119,5128,7589,6017,6027,7589,7830,7832,7589,-1,-1,-1,5128,5129
997,1,1,4294,888,1409,1412,394,3,12,2,I/O,4687,4688,888,5704,5706,888,-1,-1,-1,-1,-1,-1,4688,4700
996,11,11,3099,3914,2267,2288,285,21,2,3,CPU,3383,3393,3914,4037,4038,3914,5377,5387,3914,-1,-1,-1,4038,4040
995,3,3,6461,101,1961,1966,378,5,10,2,I/O,6838,6841,101,8425,8427,101,-1,-1,-1,-1,-1,-1,6841,6852
994,1,1,528,6141,72,76,21,4,9,2,I/O,548,549,6141,601,604,6141,-1,-1,-1,-1,-1,-1,549,558
993,12,12,219,5598,12,33,1,21,3,3,CPU,219,229,5598,238,240,5598,243,252,5598,-1,-1,-1,240,243
992,2,2,5950,9028,2233,2237,565,4,12,2,I/O,6514,6516,9028,8185,8187,9028,-1,-1,-1,-1,-1,-1,6516,6528
991,10,10,6110,4545,2166,2184,541,18,1,2,CPU,6650,6660,4545,8286,8294,4545,-1,-1,-1,-1,-1,-1,6660,6661
990,1,1,9746,305,1737,1739,437,2,8,2,I/O,10182,10183,305,11484,11485,305,-1,-1,-1,-1,-1,-1,10183,10193
989,1,1,6596,3674,1882,1886,311,4,12,2,I/O,6906,6907,3674,8479,8482,3674,-1,-1,-1,-1,-1,-1,6907,6920
988,1,1,2538,6212,683,685,281,2,9,2,I/O,2818,2819,6212,3222,3223,6212,-1,-1,-1,-1,-1,-1,2819,2828
987,10,10,3126,5239,2243,2265,291,22,2,3,CPU,3416,3426,5239,4062,4072,5239,5389,5391,5239,-1,-1,-1,3426,3428
986,2,2,225,8097,15,18,7,3,8,2,I/O,231,233,8097,242,243,8097,-1,-1,-1,-1,-1,-1,233,242
985,1,1,3589,669,665,668,79,3,10,2,I/O,3667,3668,669,4255,4257,669,-1,-1,-1,-1,-1,-1,3668,3678
