id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,type,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,start 7,finish 7,priority 7,start 8,finish 8,priority 8,start 9,finish 9,priority 9,start 10,finish 10,priority 10,start 11,finish 11,priority 11,start 12,finish 12,priority 12,io start 0,io end 0
999,2,2,1721,8666,270,275,81,5,10,3,I/O,1801,1803,8666,1906,1908,8666,1995,1996,8666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1803,1814
998,10,10,9992,5362,1912,1931,220,19,1,10,CPU,10211,10213,5362,10550,10552,5362,10844,10846,5362,11104,11106,5362,11330,11332,5362,11520,11522,5362,11673,11675,5362,11790,11792,5362,11874,11876,5362,11922,11923,5362,-1,-1,-1,-1,-1,-1,11332,11333
997,2,2,3278,3783,180,183,69,3,8,2,I/O,3346,3348,3783,3460,3461,3783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3348,3356
996,8,8,799,3937,308,327,25,19,3,10,CPU,823,825,3937,856,858,3937,885,887,3937,909,911,3937,933,935,3937,964,966,3937,992,994,3937,1028,1030,3937,1076,1078,3937,1125,1126,3937,-1,-1,-1,-1,-1,-1,911,914
995,2,2,2191,790,216,219,36,3,11,2,I/O,2226,2228,790,2409,2410,790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2228,2240
994,3,3,9910,3742,1170,1176,282,6,12,4,I/O,10191,10193,3742,10531,10532,3742,10824,10826,3742,11085,11086,3742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10532,10544
993,10,10,9250,9532,2449,2469,138,20,1,10,CPU,9387,9389,9532,9727,9729,9532,10083,10085,9532,10449,10451,9532,10763,10765,9532,11027,11029,9532,11262,11264,9532,11447,11449,9532,11597,11599,9532,11717,11719,9532,-1,-1,-1,-1,-1,-1,10765,10766
992,2,2,1534,6541,129,133,29,4,9,2,I/O,1562,1564,6541,1665,1667,6541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1564,1574
991,8,8,7949,4909,2928,2945,270,17,1,9,CPU,8218,8220,4909,8500,8502,4909,8816,8818,4909,9172,9174,4909,9551,9553,4909,9947,9949,4909,10316,10318,4909,10628,10630,4909,10893,10894,4909,-1,-1,-1,-1,-1,-1,-1,-1,-1,9174,9175
990,1,1,5352,1132,405,407,52,2,12,2,I/O,5403,5404,1132,5758,5759,1132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5404,5417
989,1,1,8639,9144,983,987,299,4,10,3,I/O,8937,8938,9144,9270,9272,9144,9625,9626,9144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8938,8949
