id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,type,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,start 7,finish 7,priority 7,start 8,finish 8,priority 8,io start 0,io end 0
999,2,2,1721,8666,11,16,1,5,10,2,I/O,1721,1723,8666,1734,1737,8666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1723,1734
998,10,10,9992,5362,11,30,2,19,1,2,CPU,9993,10003,5362,10013,10022,5362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10003,10004
997,2,2,3278,3783,8,11,1,3,8,2,I/O,3278,3280,3783,3288,3289,3783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3280,3288
996,8,8,799,3937,71,90,18,19,3,3,CPU,816,817,3937,819,826,3937,878,889,3937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,826,830
995,2,2,2191,790,11,14,1,3,11,2,I/O,2191,2193,790,2204,2205,790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2193,2204
994,3,3,9910,3742,15,21,1,6,12,2,I/O,9910,9913,3742,9928,9931,3742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9913,9925
993,10,10,9250,9532,55,75,35,20,1,5,CPU,9284,9294,9532,9297,9298,9532,9308,9310,9532,9315,9318,9532,9321,9325,9532,-1,-1,-1,-1,-1,-1,-1,-1,-1,9294,9296
992,2,2,1534,6541,9,13,1,4,9,2,I/O,1534,1536,6541,1545,1547,6541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1536,1545
991,8,8,7949,4909,12,29,1,17,1,2,CPU,7949,7957,4909,7969,7978,4909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7957,7958
990,1,1,5352,1132,12,14,1,2,12,2,I/O,5352,5353,1132,5365,5366,1132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5353,5365
989,1,1,8639,9144,11,15,1,4,10,2,I/O,8639,8640,9144,8651,8654,9144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8640,8651
988,3,3,7587,1890,12,16,3,4,8,2,I/O,7589,7592,1890,7602,7603,1890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7592,7601
987,9,9,5164,1401,14,32,2,18,1,4,CPU,5165,5170,1401,5171,5172,1401,5174,5177,1401,5187,5196,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5177,5178
986,1,1,2673,3720,9,12,1,3,8,2,I/O,2673,2674,3720,2683,2685,3720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2674,2682
985,3,3,7499,4173,11,15,1,4,11,2,I/O,7499,7502,4173,7513,7514,4173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7502,7513
984,10,10,9773,2347,22,42,14,20,3,2,CPU,9786,9796,2347,9805,9815,2347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9796,9799
983,11,11,1502,1447,373,393,361,20,3,3,CPU,1862,1865,1447,1867,1875,1447,1886,1895,1447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1875,1878
982,1,1,6416,2365,9,12,1,3,9,2,I/O,6416,6417,2365,6426,6428,2365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6417,6426
